field_name,data_type,required,entity_scope,allowed_values_or_example,description
base_x_pct,number,yes,all rows,0..100,"Base X anchor position within viewport, percent."
base_y_pct,number,yes,all rows,0..100,"Base Y anchor position within viewport, percent."
depth_index,integer,yes,all rows,-5..7,Relative z-depth for ordering and parallax defaults.
parallax_x,number,yes,all rows,0.00..0.10,Multiplier for horizontal camera movement.
parallax_y,number,yes,all rows,0.00..0.35,Multiplier for vertical camera movement.
blend_mode,enum/string,optional,all rows,"normal, screen, multiply, overlay, soft-light",Compositing mode.
mask_shape,enum/string,optional,all rows,"none, circle, gradient-bottom, pill",Mask preset or custom mask name.
sequence_src_pattern,string,conditional,sequence rows,/assets/s1/seq/mycelium_growth/frame_%04d.webp,Printf-style frame sequence path.
sequence_frame_count,integer,conditional,sequence rows,"36, 42, 50",Total frames available.
sequence_fps,integer,conditional,sequence rows,"18, 20",Nominal authored frame rate for preview/export.
sequence_scrub_mode,enum,conditional,sequence rows,frame-by-scroll,How scroll is mapped to sequence playback.
ai_start_prompt,string,optional,sequence rows,Dark underground cross section...,Prompt for generating the first key state of an AI-assisted sequence.
ai_end_prompt,string,optional,sequence rows,Dense glowing mycelial thread network...,Prompt for generating the final key state of an AI-assisted sequence.
trigger_start,number,yes,all rows,0..1,Normalized local scene progress when this layer starts animating.
trigger_end,number,yes,all rows,0..1,Normalized local scene progress when this layer ends animating.
ease,string,yes,all rows,"none, power2.out",Default easing for non-scrub properties.
kf0_p,number,yes,all rows,0..1,Normalized local progress for keyframe 0.
kf0_x_pct,number,yes,all rows,0..100,Viewport X position for keyframe 0.
kf0_y_pct,number,yes,all rows,0..100,Viewport Y position for keyframe 0.
kf0_scale,number,yes,all rows,0.5..2.0,Scale multiplier for keyframe 0.
kf0_opacity,number,yes,all rows,0..1,Opacity for keyframe 0.
kf0_rotate_deg,number,yes,all rows,-180..180,Rotation in degrees for keyframe 0.
kf0_blur_px,number,yes,all rows,0..20,Blur radius for keyframe 0.
kf0_frame,integer,conditional,all rows,0..N,Sequence frame index for keyframe 0; 0 for non-sequence layers.
kf1_p,number,yes,all rows,0..1,Normalized local progress for keyframe 1.
kf1_x_pct,number,yes,all rows,0..100,Viewport X position for keyframe 1.
kf1_y_pct,number,yes,all rows,0..100,Viewport Y position for keyframe 1.
kf1_scale,number,yes,all rows,0.5..2.0,Scale multiplier for keyframe 1.
kf1_opacity,number,yes,all rows,0..1,Opacity for keyframe 1.
kf1_rotate_deg,number,yes,all rows,-180..180,Rotation in degrees for keyframe 1.
kf1_blur_px,number,yes,all rows,0..20,Blur radius for keyframe 1.
kf1_frame,integer,conditional,all rows,0..N,Sequence frame index for keyframe 1; 0 for non-sequence layers.
kf2_p,number,yes,all rows,0..1,Normalized local progress for keyframe 2.
kf2_x_pct,number,yes,all rows,0..100,Viewport X position for keyframe 2.
kf2_y_pct,number,yes,all rows,0..100,Viewport Y position for keyframe 2.
kf2_scale,number,yes,all rows,0.5..2.0,Scale multiplier for keyframe 2.
kf2_opacity,number,yes,all rows,0..1,Opacity for keyframe 2.
kf2_rotate_deg,number,yes,all rows,-180..180,Rotation in degrees for keyframe 2.
kf2_blur_px,number,yes,all rows,0..20,Blur radius for keyframe 2.
kf2_frame,integer,conditional,all rows,0..N,Sequence frame index for keyframe 2; 0 for non-sequence layers.
kf3_p,number,yes,all rows,0..1,Normalized local progress for keyframe 3.
kf3_x_pct,number,yes,all rows,0..100,Viewport X position for keyframe 3.
kf3_y_pct,number,yes,all rows,0..100,Viewport Y position for keyframe 3.
kf3_scale,number,yes,all rows,0.5..2.0,Scale multiplier for keyframe 3.
kf3_opacity,number,yes,all rows,0..1,Opacity for keyframe 3.
kf3_rotate_deg,number,yes,all rows,-180..180,Rotation in degrees for keyframe 3.
kf3_blur_px,number,yes,all rows,0..20,Blur radius for keyframe 3.
kf3_frame,integer,conditional,all rows,0..N,Sequence frame index for keyframe 3; 0 for non-sequence layers.
reduced_motion_mode,enum,yes,all rows,"static, fade-only, first-frame, hide",How the layer behaves when prefers-reduced-motion is enabled.
reduced_motion_asset,string,optional,all rows,/assets/s1/seq/.../frame_0001.webp,Fallback asset to use for reduced-motion mode if needed.
mobile_behavior,enum,yes,all rows,"keep, simplify, hide",Mobile optimization directive.
preload_priority,enum,yes,all rows,"high, medium, low",Asset loading priority.
notes,string,optional,all rows,Primary AI-generated image sequence...,Implementation / editorial note.
